INFO 2017-11-13 11:56:34,028 phoenix logout
ERROR 2017-11-13 11:56:41,117 phoenix login
INFO 2017-11-13 13:57:05,056 views 4052 6816 phoenix logout
ERROR 2017-11-13 13:57:13,131 views 4052 984 phoenix login
INFO 2017-11-13 14:05:28,947 phoenix logout
ERROR 2017-11-13 15:26:14,838 User phoenix is login
ERROR 2017-11-13 15:26:45,121 User phoenix is login
ERROR 2017-11-13 15:26:51,124 User phoenix is login
ERROR 2017-11-13 15:26:52,006 User phoenix is login
ERROR 2017-11-13 15:32:11,907 User phoenix is login
ERROR 2017-11-13 15:32:13,283 User phoenix is login
ERROR 2017-11-13 15:37:26,974 User phoenix is login
INFO 2017-11-13 15:44:29,665 User phoenix is logout
INFO 2017-11-13 15:44:38,752 User phoenix is login from client '192.168.19.36'
INFO 2017-11-13 15:44:52,954 User phoenix change password success
INFO 2017-11-13 15:44:54,125 User phoenix is logout
INFO 2017-11-13 15:45:58,400 User phoenix is login from client '192.168.19.36'
INFO 2017-11-13 15:46:12,299 User phoenix change password success
INFO 2017-11-13 15:46:13,440 User phoenix is logout
INFO 2017-11-13 15:46:29,431 User phoenix is login from client '192.168.19.36'
INFO 2017-11-13 15:47:02,971 User phoenix is logout
INFO 2017-11-13 15:47:24,174 User <input type="text" name="username" value="pikaqiu" required id="id_username" maxlength="100" /> is regist from client '192.168.19.36'
INFO 2017-11-13 15:47:43,115 User pikaqiu is login from client '192.168.19.36'
INFO 2017-11-13 15:47:48,520 User pikaqiu is logout
INFO 2017-11-13 15:48:01,918 User phoenix is login from client '192.168.19.36'
INFO 2017-11-13 15:50:22,069 User 小明 is regist from client '192.168.19.37'
INFO 2017-11-13 15:50:28,848 User 小明 is regist from client '192.168.19.37'
INFO 2017-11-13 15:50:45,109 User 小明 is login from client '192.168.19.37'
INFO 2017-11-13 15:54:59,022 User phoenix is logout
INFO 2017-11-13 16:14:49,408 User phoenix is login from client '192.168.19.36'
INFO 2017-11-13 16:14:55,799 User phoenix is logout
INFO 2017-11-13 16:15:16,290 User phoenix is login from client '192.168.19.36'
INFO 2017-11-13 16:16:30,687 User 小明 is logout
INFO 2017-11-13 16:16:42,325 User xiaoming is login from client '192.168.19.37'
INFO 2017-11-13 16:18:32,086 User xiaoming is logout
INFO 2017-11-13 16:18:45,658 User xiaoming is login from client '192.168.19.37'
INFO 2017-11-13 16:42:28,477 User phoenix is logout
INFO 2017-11-13 16:42:37,270 User phoenix is login from client '192.168.19.36'
INFO 2017-11-14 15:07:01,163 User phoenix is regist from client '192.168.19.36'
INFO 2017-11-14 15:07:10,959 User phoenix is login from client '192.168.19.36'
INFO 2017-11-14 17:20:33,102 User liuyuhong is regist from client '192.168.19.39'
INFO 2017-11-14 17:20:47,793 User liuyuhong is login from client '192.168.19.39'
